time,wind_speed_100m,temperature_2m,surface_pressure,physics_mw,hour,month,wind_speed_roll3,wind_speed_roll6,wind_acceleration,final_forecast_mw_q10,final_forecast_mw_q50,final_forecast_mw_q90,final_forecast_mw
2026-04-30 05:45:00,10.9107128409478,-41.025912802068426,680.7838177937788,2.9115187734000902,5,4,10.902117003700958,10.887492417466982,0.007914657754238164,2.694797149264119,2.768478548490308,2.842330603265069,2.768478548490308
2026-04-30 06:00:00,10.913938860203762,-41.05283203124998,680.78984375,2.9126627198282544,6,4,10.909149961448376,10.896190660927452,0.003226019255961887,2.6963318190399472,2.7706521949592893,2.843474549693233,2.7706521949592893
2026-04-30 06:15:00,10.900108610644333,-41.0708518891086,680.8211517703476,2.90775851333448,6,4,10.9082534372653,10.900646972370517,-0.013830249559429575,2.691427612546173,2.765747988465515,2.838570343199459,2.765747988465515
2026-04-30 06:30:00,10.86441760929812,-41.08468862872686,680.8839802921741,2.8951024842571136,6,4,10.89282169338207,10.897469348541515,-0.03569100134621195,2.6787715834688064,2.7530919593881484,2.8259143141220924,2.7530919593881484
2026-04-30 06:45:00,10.81556547716324,-41.098794274196514,680.9567717929135,2.8777795182020847,6,4,10.860030565701898,10.884590263575136,-0.04885213213488093,2.6614486174137775,2.7357689933331195,2.810390208795804,2.7357689933331195
2026-04-30 07:00:00,10.76225183523781,-41.11762084960935,681.01796875,2.858874500775328,7,4,10.814078307233059,10.86116587224918,-0.05331364192542942,2.6216835538387206,2.686852053785315,2.7665033871769813,2.686852053785315
2026-04-30 07:15:00,10.678855353809082,-41.14316509583015,681.0668047877305,2.8293021084607,7,4,10.752224222070046,10.822522957726058,-0.08339648142872846,2.592111161524093,2.6594582112372276,2.7405355112493393,2.6594582112372276
2026-04-30 07:30:00,10.563820974766948,-41.17565629209303,681.1139036103759,2.7885109176523595,7,4,10.668309387937947,10.764169976819923,-0.1150343790421342,2.556029587019196,2.621106370318642,2.6997443204409985,2.621106370318642
2026-04-30 07:45:00,10.46194772651348,-41.21689527004375,681.1547928153336,2.748188737010648,7,4,10.56820801836317,10.691143162798113,-0.101873248253467,2.5157074063774845,2.5807841896769306,2.659422139799287,2.5807841896769306
2026-04-30 08:00:00,10.41803463745075,-41.2686828613281,681.185,2.727772663643603,8,4,10.48126777957706,10.616746000823552,-0.04391308906273039,2.4680440531280086,2.5350515798833415,2.607247735669856,2.5350515798833415
2026-04-30 08:15:00,10.427528307994892,-41.3635938894106,681.2046239607679,2.7321864609529856,8,4,10.435836890653041,10.552073139295494,0.009493670544141963,2.472816282968748,2.539465377192724,2.6116615329792383,2.539465377192724
2026-04-30 08:30:00,10.44841438319201,-41.50473947222998,681.2193653446448,2.7418968150336287,8,4,10.431325776212551,10.499766897287861,0.020886075197116938,2.482526637049391,2.549175731273367,2.6213718870598814,2.549175731273367
2026-04-30 08:45:00,10.469300458389124,-41.649724883143335,681.2331545249494,2.751607169114272,8,4,10.44841438319201,10.464841081384535,0.02088607519711516,2.492236991130034,2.5588860853540103,2.6310822411405246,2.5588860853540103
2026-04-30 09:00:00,10.478794128933268,-41.75615539550779,681.249921875,2.756020966423655,9,4,10.465502990171467,10.450669940412254,0.00949367054414374,2.4699550005327704,2.5407528760563376,2.6124440314899924,2.5407528760563376
2026-04-30 09:15:00,10.459488151248888,-41.8298098810846,681.2704005186574,2.7470452312786326,9,4,10.469194246190428,10.450260011201488,-0.019305977684380693,2.4609792653877482,2.5317771409113154,2.6034682963449702,2.5317771409113154
2026-04-30 09:30:00,10.409797970623666,-41.89692181554851,681.2931746674733,2.7239432725023547,9,4,10.44936008360194,10.448887233396976,-0.04969018062522146,2.4378773066114703,2.5153496208500186,2.581276783616475,2.5153496208500186
2026-04-30 09:45:00,10.342065215699474,-41.94577837812682,681.3189513263027,2.692452960083,9,4,10.403783779190675,10.434643384681072,-0.06773275492419195,2.410144441196434,2.4856069166154784,2.5532942194433135,2.4856069166154784
2026-04-30 10:00:00,10.268631515118186,-41.96466674804685,681.3484375,2.658312164008747,10,4,10.340164900480442,10.404679573335434,-0.07343370058128862,2.361545942485462,2.4347481799723014,2.504310704529415,2.4347481799723014
2026-04-30 10:15:00,10.175051430473172,-41.88351675271316,681.3856068450267,2.6148049110555864,10,4,10.26191605376361,10.355638068682774,-0.09358008464501388,2.318689423241637,2.3976829672241426,2.464650156536124,2.3976829672241426
2026-04-30 10:30:00,10.05284958983828,-41.697349452954526,681.4306406123214,2.5579908313076127,10,4,10.165510845143212,10.284647312166944,-0.12220184063489192,2.261875343493663,2.3408444197694886,2.4139159293691743,2.3408444197694886
2026-04-30 10:45:00,9.923322721576088,-41.49208887813463,681.4785571984554,2.488103728451468,10,4,10.050407913962514,10.195286407221477,-0.12952686826219129,2.208119373478629,2.272570218600966,2.351173873700835,2.272570218600966
2026-04-30 11:00:00,9.807767554049173,-41.353659057617165,681.524375,2.4198106244430613,11,4,9.927979955154514,10.094948004459061,-0.11555516752691553,2.1446002140865397,2.2058940395937037,2.2774195388183665,2.2058940395937037
2026-04-30 11:15:00,9.709333086584776,-41.28641074438766,681.575039195185,2.3616358541716025,11,4,9.813474454070013,9.989492649606612,-0.0984344674643971,2.0977748834360526,2.156793361233561,2.2192447685469077,2.156793361233561
2026-04-30 11:30:00,9.616527709698437,-41.23373173444875,681.6304601873868,2.306787876431776,11,4,9.711209450110795,9.880808682036653,-0.09280537688633927,2.042926905696226,2.1019453834937343,2.167017383520437,2.1019453834937343
2026-04-30 11:45:00,9.528687238535191,-41.19010162168975,681.675104210895,2.2548741579742977,11,4,9.6181826782728,9.773081316713657,-0.08784047116324523,2.0091990709992,2.0622658760042736,2.122376385399873,2.0622658760042736
2026-04-30 12:00:00,9.445147488240078,-41.14999999999998,681.6934375,2.203557095482879,12,4,9.530120812157902,9.671797633113957,-0.08353975029511318,1.9481299137621453,2.0097741996794274,2.071059322908454,2.0097741996794274
2026-04-30 12:15:00,9.369335254637855,-41.106662501756695,681.6933642578125,2.1560637636204305,12,4,9.447723327137709,9.579466388624251,-0.07581223360222289,1.9072146697063985,1.971386639596993,2.0311361832638326,1.971386639596993
2026-04-30 12:30:00,9.299856499872584,-41.06355077060447,681.693203125,2.112538102910179,12,4,9.371446414250173,9.494814546261487,-0.06947875476527088,1.8636890089961469,1.9278609788867413,1.98427604500975,1.9278609788867413
2026-04-30 12:45:00,9.228815788568228,-41.0304834173336,681.6930419921875,2.0680339389064524,12,4,9.29933584769289,9.414728329925396,-0.07104071130435585,1.8198243432262156,1.8833568148830149,1.9397718810060236,1.8833568148830149
2026-04-30 13:00:00,9.148317685348768,-41.01727905273435,681.69296875,2.0176050971635893,13,4,9.225663324596526,9.336693325867119,-0.08049810321946005,1.779795498717697,1.8356263648161009,1.893770815003784,1.8356263648161009
2026-04-30 13:15:00,9.031606895838951,-41.02584192968285,681.7151977539063,1.9444904559672695,13,4,9.13624678991865,9.253846602084412,-0.11671078950981695,1.7253981315911633,1.7718824082434994,1.8289563813627583,1.7718824082434994
2026-04-30 13:30:00,8.889059353177084,-41.046314817451815,681.7641015625,1.8591240777276563,13,4,9.022994644788268,9.161165246240579,-0.14254754266186787,1.6472592039607572,1.6972249879144239,1.7478299646280813,1.6972249879144239
2026-04-30 13:45:00,8.76847646325747,-41.0708741014265,681.8130053710937,1.7878595897851643,13,4,8.896380904091169,9.061022114343848,-0.12058288991961419,1.576574371188706,1.625960499971932,1.6763011300860104,1.625960499971932
2026-04-30 14:00:00,8.717659631974419,-41.091696166992165,681.835234375,1.7578268424968817,14,4,8.791731816136323,8.963989303027487,-0.05081683128305059,1.5438934044342139,1.6034304873447516,1.657136574516783,1.6034304873447516
2026-04-30 14:15:00,8.749897616000762,-41.11000053236251,681.8213506124106,1.7768794910564505,14,4,8.745344570410884,8.884169607599576,0.03223798402634337,1.5629460529937826,1.6224831359043204,1.6761892230763518,1.6224831359043204
2026-04-30 14:30:00,8.820821180858722,-41.12902087590752,681.7900274143449,1.818795317887505,14,4,8.7627928096113,8.829586856851234,0.07092356485796003,1.6047327612630924,1.6643989627353748,1.707111241399487,1.6643989627353748
2026-04-30 14:45:00,8.89174474571668,-41.1439548232468,681.7567569153567,1.860711144718558,14,4,8.820821180858722,8.806276498497523,0.07092356485795825,1.6500572287172381,1.706314789566428,1.7492914148301189,1.706314789566428
2026-04-30 15:00:00,8.923982729743024,-41.14999999999998,681.73703125,1.879763793278127,15,4,8.878849552106141,8.812097061258513,0.03223798402634337,1.6777361594919256,1.7359662168506673,1.7769462057236722,1.7359662168506673
2026-04-30 15:15:00,8.878558701151455,-41.14974816309424,681.7297567565182,1.8529181923805096,15,4,8.89809539220372,8.83044410090751,-0.0454240285915688,1.650890558594308,1.7091206159530499,1.7501006048260548,1.7091206159530499
2026-04-30 15:30:00,8.774205798710119,-41.14900545721617,681.7238788356551,1.79124562703768,15,4,8.858915743201534,8.839868462030127,-0.10435290244133633,1.5915450926939605,1.6474444445292113,1.6920103978435157,1.6474444445292113
2026-04-30 15:45:00,8.658802797419073,-41.14779108962455,681.7199482157143,1.723042453274672,15,4,8.770522432426882,8.824685992266511,-0.11540300129104608,1.5233419189309525,1.5935980031346726,1.6351406598543572,1.5935980031346726
2026-04-30 16:00:00,8.580228472278375,-41.1461242675781,681.718515625,1.6766050271165194,16,4,8.671079022802523,8.78458720750312,-0.07857432514069806,1.4957114420306505,1.5584299303066553,1.6041050813567461,1.5584299303066553
2026-04-30 16:15:00,8.536771335550492,-41.13074956821768,681.7320970948728,1.650921859310341,16,4,8.591934201749313,8.725424972475423,-0.04345713672788243,1.4931729068023682,1.5355378244978906,1.5750091825587273,1.5355378244978906
2026-04-30 16:30:00,8.498626148767645,-41.09511494693216,681.7628188154939,1.6284403031210162,16,4,8.538541985532172,8.654532208979527,-0.03814518678284706,1.4706913506130435,1.5130562683085658,1.5525276263694026,1.5130562683085658
2026-04-30 16:45:00,8.471531060834506,-41.04929467835244,681.7956467533683,1.6136547845867817,16,4,8.502309515050882,8.586694268926701,-0.027095087933139084,1.455905832078809,1.4982707497743313,1.537742107835168,1.4982707497743313
2026-04-30 17:00:00,8.461224220655755,-41.00336303710935,681.815546875,1.6080304449696388,17,4,8.477127143419303,8.534530672584308,-0.010306840178751386,1.4684174275297965,1.5060833534498062,1.5497290855545844,1.5060833534498062
2026-04-30 17:15:00,8.477219188184183,-40.95319930317238,681.8219184495296,1.6167587388002267,17,4,8.469991489891482,8.504266737711825,0.015994967528428106,1.4771457213603845,1.5145204785906663,1.5584573793851724,1.5145204785906663
2026-04-30 17:30:00,8.515383449355092,-40.89458315581901,681.8258120901504,1.6382816185688591,17,4,8.484608952731676,8.493459233891278,0.038164261170908986,1.498668601129017,1.5360433583592987,1.5799802591538048,1.5360433583592987
2026-04-30 17:45:00,8.560986042046924,-40.837439468642046,681.8296707794458,1.6652327508497322,17,4,8.5178628931954,8.497495018307351,0.0456025926918322,1.5024751008319939,1.561027462856778,1.6035448455083454,1.561027462856778
2026-04-30 18:00:00,8.599296004138116,-40.79169311523435,681.8359375,1.6878739384456267,18,4,8.558555165180044,8.514273327535761,0.03830996209119242,1.536565804247438,1.6059645724936118,1.6472147566719642,1.6059645724936118
2026-04-30 18:15:00,8.626537622367588,-40.75344145096926,681.8488807498351,1.7039737348192443,18,4,8.595606556184208,8.540107754457944,0.027241618229471243,1.5526656006210555,1.6238641311162223,1.6633145530455817,1.6238641311162223
2026-04-30 18:30:00,8.650901832278638,-40.71704900350913,681.8695375608487,1.718372982876675,18,4,8.625578486261448,8.571720689728423,0.024364209911050594,1.5670648486784862,1.638263379173653,1.6777138011030124,1.638263379173653
2026-04-30 18:45:00,8.675607644956264,-40.68984140488036,681.895503716438,1.7329741181691518,18,4,8.651015699867497,8.604785432523771,0.024705812677625616,1.581665983970963,1.6528645144661298,1.6923149363954892,1.6528645144661298
2026-04-30 19:00:00,8.703874071485473,-40.67914428710935,681.924375,1.7496795762479145,19,4,8.676794516240124,8.636200536212167,0.028266426529208744,1.607360090702756,1.6603588346540767,1.709020394474252,1.6603588346540767
2026-04-30 19:15:00,8.735138638969888,-40.69462794979904,681.9682221247914,1.7681569356312037,19,4,8.704873451803875,8.66522596903266,0.031264567484415196,1.6258374500860453,1.678836194037366,1.7274977538575411,1.678836194037366
2026-04-30 19:30:00,8.768937686218718,-40.73046925122196,682.0265829115962,1.7881321725552626,19,4,8.735983465558027,8.69349958271276,0.03379904724883076,1.6458126870101042,1.6988114309614248,1.7441417728667803,1.6988114309614248
2026-04-30 19:45:00,8.808638441875352,-40.7707536614089,682.0782538051028,1.8115953191483332,19,4,8.770904922354653,8.72384971929739,0.039700755656634,1.667501909967692,1.7222745775544954,1.7676049194598509,1.7222745775544954
2026-04-30 20:00:00,8.85760813458317,-40.7995666503906,682.10203125,1.8405364075386537,20,4,8.81172808755908,8.758300769681478,0.048969692707817813,1.6964429983580125,1.7499015921437753,1.7968103544497502,1.7499015921437753
2026-04-30 20:15:00,8.947766569487547,-40.817443379148926,682.1039557785172,1.89382004256714,20,4,8.871337715315356,8.80366059043669,0.09015843490437625,1.7505067389773192,1.8031852271722617,1.8512255464063945,1.8031852271722617
2026-04-30 20:30:00,9.074970584261605,-40.83366801684439,682.1048757176407,1.971656072216525,20,4,8.960115096110775,8.865510009232713,0.1272040147740583,1.8271793455653333,1.8772046373062277,1.9265723035507345,1.8772046373062277
2026-04-30 20:45:00,9.188492956340358,-40.84544954577586,682.1057992041937,2.042773297428981,20,4,9.070410036696503,8.941069062127793,0.11352237207875326,1.889729878306285,1.940843550860778,1.9947354927657996,1.940843550860778
2026-04-30 21:00:00,9.237606463158828,-40.849996948242165,682.107734375,2.07354094491048,21,4,9.16702333458693,9.019180524951144,0.04911350681847004,1.9098505567078128,1.971611198342277,2.0258973690931334,1.971611198342277
2026-04-30 21:15:00,9.189292792896502,-40.82007473815925,682.1332175024519,2.043274363037942,21,4,9.20513073746523,9.082622916788003,-0.048313670262325914,1.8902309439152463,1.9413446164697392,1.9956307872205956,1.9413446164697392
2026-04-30 21:30:00,9.08049270164845,-40.7511092850751,682.1906271667483,1.9751154578746872,21,4,9.169130652567928,9.119770344632213,-0.10880009124805312,1.829248795610817,1.8738971672476845,1.9308846093238907,1.8738971672476845
2026-04-30 21:45:00,8.96541756872304,-40.67430235473659,682.2597349664203,1.904251783115317,21,4,9.078401021089332,9.12271217783813,-0.1150751329254085,1.7617227574414507,1.8136133616394297,1.8650700142211214,1.8136133616394297
2026-04-30 22:00:00,8.89827877342866,-40.6208557128906,682.3203125,1.8645727550963376,22,4,8.981396347933384,9.093263542699306,-0.06713879529438138,1.7219398832301114,1.7741833320239995,1.8209572164694283,1.7741833320239995
2026-04-30 22:15:00,8.878595407540686,-40.58971551330535,682.3727416461454,1.8529398858565456,22,4,8.91409724989746,9.041613951232696,-0.019683365887972926,1.7103070139903194,1.7625504627842075,1.8093243472296363,1.7625504627842075
2026-04-30 22:30:00,8.865980258618352,-40.56198275594048,682.426035727177,1.845484332843446,22,4,8.880951479862565,8.979676250475949,-0.012615148922334285,1.7020713553863995,1.755094909771108,1.8018687942165368,1.755094909771108
2026-04-30 22:45:00,8.85478524964579,-40.54209147582996,682.47291350712,1.8388680825406616,22,4,8.86645363860161,8.923924993267496,-0.011195008972562093,1.695455105083615,1.7484786594683235,1.7952525439137523,1.7484786594683235
2026-04-30 23:00:00,8.83936230360714,-40.53447570800779,682.50609375,1.82975312143182,23,4,8.853375937290428,8.883736593593945,-0.015422946038649243,1.6914361920914573,1.7397237402162475,1.786404082622282,1.7397237402162475
2026-04-30 23:15:00,8.817263346990819,-40.54271867275236,682.5294264471852,1.8166926380715736,23,4,8.837136966747918,8.859044223305242,-0.022098956616321885,1.6782465901694663,1.7266632568560012,1.7730792526624568,1.7266632568560012
2026-04-30 23:30:00,8.790353591814215,-40.56641330718992,682.54977446347,1.800788972762201,23,4,8.815659747470724,8.841056693036167,-0.026909755176603767,1.6641168484955766,1.7107595915466287,1.7571755873530843,1.7107595915466287
2026-04-30 23:45:00,8.759454889354936,-40.60400822162626,682.56437587302,1.7825278396087674,23,4,8.789023942719991,8.82119994000521,-0.030898702459278837,1.645855715342143,1.692498458393195,1.7422456721144703,1.692498458393195
2026-05-01 00:00:00,8.725389090890586,-40.653952026367165,682.57046875,1.762394952716336,0,5,8.758399190686578,8.797768078717247,-0.03406579846435065,1.6214015215058182,1.6775325789470528,1.7344166945088957,1.6775325789470528
