time,actual_mw,physics_mw,final_forecast_mw
2024-11-27 21:45:00+00:00,2.8837734928630603,3.028875,2.8773126817941668
2024-11-27 22:00:00+00:00,2.9422067816537365,3.028875,2.877737633109093
2024-11-27 22:15:00+00:00,2.8696149890212914,3.028875,2.877737633109093
2024-11-27 22:30:00+00:00,2.8494020805060503,3.028875,2.877737633109093
2024-11-27 22:45:00+00:00,2.881047386996605,3.028875,2.877737633109093
2024-11-27 23:00:00+00:00,2.9040448549947833,3.028875,2.8778968669176104
2024-11-27 23:15:00+00:00,2.737531374724076,3.028875,2.8778968669176104
2024-11-27 23:30:00+00:00,2.9331719284314035,3.028875,2.8778968669176104
2024-11-27 23:45:00+00:00,2.911349635143857,3.028875,2.8778968669176104
2024-11-28 00:00:00+00:00,2.9163663415220555,2.9823617041076744,2.834099739786538
2024-11-28 00:15:00+00:00,1.4037199500692739,1.5196451232310129,1.4413204849239183
2024-11-28 00:30:00+00:00,0.6895333067884146,0.7142328862517132,0.6770778689949765
2024-11-28 00:45:00+00:00,0.49494972963700085,0.5214580492059242,0.49414104306497686
2024-11-28 01:00:00+00:00,0.4013817623405357,0.406952983446031,0.3862816307019285
2024-11-28 01:15:00+00:00,0.3116861999889578,0.3335835393503343,0.3165138047173654
2024-11-28 01:30:00+00:00,0.25639476433525876,0.2749174400144162,0.2617523786523285
2024-11-28 01:45:00+00:00,0.2177956523347002,0.223172180527155,0.21247387601554832
2024-11-28 02:00:00+00:00,0.17191012978762643,0.17944760615213265,0.17013350030614485
2024-11-28 02:15:00+00:00,0.1458660688489092,0.1503968368110003,0.14376723336174507
2024-11-28 02:30:00+00:00,0.12603504800384235,0.13901073600656924,0.1323724447146767
2024-11-28 02:45:00+00:00,0.1878104555094995,0.20622646613337559,0.19586073505051893
2024-11-28 03:00:00+00:00,0.3805531195246059,0.41047302418541465,0.3899541624743894
2024-11-28 03:15:00+00:00,0.6943802511525292,0.7101150598066689,0.6728844377833249
2024-11-28 03:30:00+00:00,0.8425685671650618,0.8792621122558394,0.8364904636402407
2024-11-28 03:45:00+00:00,0.6594228059511816,0.6847981511515092,0.6479447631996583
2024-11-28 04:00:00+00:00,0.3333735681794493,0.3527265464786707,0.3346810055796324
2024-11-28 04:15:00+00:00,0.13247569405303788,0.14251586873652577,0.1358306876813078
2024-11-28 04:30:00+00:00,0.07315520721215346,0.07627194571216865,0.07291665264313384
2024-11-28 04:45:00+00:00,0.0952042931596025,0.09788938769186419,0.09312096302444618
2024-11-28 05:00:00+00:00,0.14581762987007013,0.15224963296008576,0.14552483716783393
2024-11-28 05:15:00+00:00,0.22488734281258133,0.22387322020797007,0.21353136451063626
2024-11-28 05:30:00+00:00,0.26488217245153867,0.279806318796598,0.26684904853942304
2024-11-28 05:45:00+00:00,0.2852671393297136,0.306609742909248,0.29062752482252846
2024-11-28 06:00:00+00:00,0.31381814189192714,0.3267871351214425,0.3103007772239224
2024-11-28 06:15:00+00:00,0.3420832634294473,0.34686377318044775,0.3303774152829277
2024-11-28 06:30:00+00:00,0.3579946735551734,0.37618178732273905,0.3571287118601593
2024-11-28 06:45:00+00:00,0.41135085936086446,0.43221816277000646,0.40979720136019926
2024-11-28 07:00:00+00:00,0.4862371764415095,0.5197765408158442,0.4893963476717612
2024-11-28 07:15:00+00:00,0.6015079832523768,0.643338759277343,0.6062116667966835
2024-11-28 07:30:00+00:00,0.7164433558622946,0.7704435073255422,0.716142472666395
2024-11-28 07:45:00+00:00,0.8630810904352284,0.929558531793873,0.8724698735802576
2024-11-28 08:00:00+00:00,1.0754043769791006,1.1301932904723409,1.0602576110366109
2024-11-28 08:15:00+00:00,1.2152095036229342,1.326843252665805,1.237238651401805
2024-11-28 08:30:00+00:00,1.362666898361214,1.4519128178435263,1.3489180033284125
2024-11-28 08:45:00+00:00,1.426638278802016,1.4980288760209108,1.3947721735978151
2024-11-28 09:00:00+00:00,1.3894425725880977,1.52451092949973,1.4057232236014452
2024-11-28 09:15:00+00:00,1.4059291278773607,1.5516565193868246,1.4328688134885397
2024-11-28 09:30:00+00:00,1.4812427359908555,1.5997631867890378,1.4687202890877744
2024-11-28 09:45:00+00:00,1.6286422269007899,1.740632561057896,1.6066632392109341
2024-11-28 10:00:00+00:00,1.7973038852838716,2.0155851855489137,1.836208330056322
2024-11-28 10:15:00+00:00,2.1480950036334914,2.3966151066983685,2.1944147982562527
2024-11-28 10:30:00+00:00,2.6323673844851827,2.7700318893369,2.537133400696115
2024-11-28 10:45:00+00:00,2.8246839339564938,3.0095744810008065,2.7514701864623086
2024-11-28 11:00:00+00:00,2.7664183341144506,3.028875,2.759733683586121
2024-11-28 11:15:00+00:00,2.833288995845652,3.028875,2.7605455584526064
2024-11-28 11:30:00+00:00,2.7756673674579897,3.028875,2.760606712818146
2024-11-28 11:45:00+00:00,2.7621042445189024,3.028875,2.761184997081757
2024-11-28 12:00:00+00:00,2.6933021448600876,3.028875,2.7601472802162172
2024-11-28 12:15:00+00:00,2.680133087863517,3.028875,2.7593597240448
2024-11-28 12:30:00+00:00,2.6854659537541794,3.028875,2.7595650024414065
2024-11-28 12:45:00+00:00,2.82251057539879,3.028875,2.7597298092842104
2024-11-28 13:00:00+00:00,2.7349943752430237,3.028875,2.7614076800346377
2024-11-28 13:15:00+00:00,2.724560446616698,3.028875,2.7614076800346377
2024-11-28 13:30:00+00:00,2.8773977812790403,3.028875,2.761609322547913
2024-11-28 13:45:00+00:00,2.8364482531112367,3.028875,2.7612429327964785
2024-11-28 14:00:00+00:00,2.7742635743994337,3.028875,2.77429348897934
2024-11-28 14:15:00+00:00,2.738851818290455,3.028875,2.774533874511719
2024-11-28 14:30:00+00:00,2.9099462321263894,3.028875,2.774591989040375
2024-11-28 14:45:00+00:00,2.675681441841021,3.028875,2.7746383018493654
2024-11-28 15:00:00+00:00,0.0,0.0,0.0
2024-11-28 15:15:00+00:00,0.0,0.0,0.0
2024-11-28 15:30:00+00:00,0.0,0.0,0.0
2024-11-28 15:45:00+00:00,2.807656705973417,3.028875,2.791509888291359
2024-11-28 16:00:00+00:00,2.908542712317582,3.028875,2.819217286229134
2024-11-28 16:15:00+00:00,2.784319059562125,3.028875,2.819573364377022
2024-11-28 16:30:00+00:00,2.920205651045595,3.028875,2.819343439459801
2024-11-28 16:45:00+00:00,2.8126129988828303,3.028875,2.819667062878609
2024-11-28 17:00:00+00:00,2.9015129667589736,3.028875,2.8476692653894426
2024-11-28 17:15:00+00:00,2.653341813231537,2.8135658343434593,2.6469846953749916
2024-11-28 17:30:00+00:00,1.787351858572438,1.9449434736089646,1.8279419773535668
2024-11-28 17:45:00+00:00,1.5004728882779657,1.5484193951279281,1.4542630628139137
2024-11-28 18:00:00+00:00,1.2154848772309645,1.262753645961426,1.2005546941210252
2024-11-28 18:15:00+00:00,1.0033453638580312,1.0900710693413025,1.0388844183498627
2024-11-28 18:30:00+00:00,0.9785082378148005,1.0338701629180669,0.9834483736295461
2024-11-28 18:45:00+00:00,1.1523741352560826,1.2042151890923214,1.142238625906868
2024-11-28 19:00:00+00:00,1.627599507878497,1.678553939262777,1.596227460006624
2024-11-28 19:15:00+00:00,2.253208158131465,2.3417182418093008,2.227508135376863
2024-11-28 19:30:00+00:00,2.657570140071564,2.8138081268831416,2.673391713337533
2024-11-28 19:45:00+00:00,2.8656058339142065,3.001808997669595,2.8497594561962063
2024-11-28 20:00:00+00:00,2.885649609168548,3.0269520422244813,2.8744129827047136
2024-11-28 20:15:00+00:00,2.8217464125755525,3.028875,2.8763359404802324
2024-11-28 20:30:00+00:00,2.884300409001175,3.028875,2.8763776041269304
2024-11-28 20:45:00+00:00,2.799696947171591,3.028875,2.876500777125359
